%  columns="iteration, evaluation, void, void, void, xmean" (startseed=208486, 2016/06/18 20:18:6.86)
20 281 0 0 0 1.296711e+00 -3.512674e+00 -2.626326e+00 -1.595340e-01 -2.540271e+00 2.890324e+00 4.170986e+00 5.224713e-01 -3.879213e+00 2.053954e+00 1.609810e+00 3.596427e+00 -6.381926e-01 -1.111094e+00 1.265504e+00 1.029156e+00 -7.846062e-01 1.430102e-01 -2.041135e+00 -6.545587e-01 -4.851575e-01 -1.105364e+00 2.295274e-01 -7.802283e-02 -7.018709e-01 2.865018e+00 -1.595849e+00 -2.266911e+00 -3.405813e+00 -2.305646e+00 2.831344e-01 2.750715e+00 
21 295 0 0 0 1.153242e+00 -3.635334e+00 -2.531083e+00 -6.745970e-02 -2.570272e+00 2.770518e+00 3.980912e+00 4.748494e-01 -3.906745e+00 2.270352e+00 1.607088e+00 3.456410e+00 -8.419219e-01 -9.081923e-01 1.388591e+00 1.029184e+00 -7.376173e-01 5.373690e-02 -2.208648e+00 -7.225755e-01 -5.208134e-01 -1.211388e+00 1.895148e-01 -5.262744e-02 -6.124385e-01 2.886608e+00 -1.250860e+00 -2.024700e+00 -3.643794e+00 -2.216751e+00 4.004869e-01 3.098344e+00 
22 309 0 0 0 1.059414e+00 -3.490874e+00 -2.556091e+00 4.902397e-02 -2.583274e+00 2.953889e+00 3.902837e+00 7.231099e-01 -3.761818e+00 1.977242e+00 1.356126e+00 3.472824e+00 -8.453669e-01 -8.581724e-01 1.583217e+00 1.112992e+00 -7.506930e-01 1.570177e-01 -2.261685e+00 -6.991263e-01 -3.147978e-01 -1.067809e+00 1.486259e-01 -2.913457e-02 -6.707623e-01 3.123471e+00 -9.074632e-01 -2.104956e+00 -3.716133e+00 -2.355150e+00 5.451427e-01 3.152463e+00 
23 323 0 0 0 1.167380e+00 -3.427372e+00 -2.576462e+00 -1.407954e-01 -2.585570e+00 3.094186e+00 3.549661e+00 6.889861e-01 -3.815822e+00 1.699641e+00 1.059713e+00 3.707335e+00 -7.445723e-01 -7.601943e-01 1.722550e+00 1.020240e+00 -8.661003e-01 2.868879e-01 -2.018769e+00 -6.704736e-01 -2.291303e-01 -7.792949e-01 1.535921e-01 -1.759451e-01 -5.479318e-01 3.295133e+00 -8.919388e-01 -2.207206e+00 -3.740901e+00 -2.358160e+00 3.577395e-01 3.109368e+00 
24 337 0 0 0 1.352491e+00 -3.524845e+00 -2.626907e+00 6.973299e-02 -2.517735e+00 2.971308e+00 3.485049e+00 5.775991e-01 -3.724112e+00 1.816172e+00 1.081343e+00 3.764080e+00 -3.840224e-01 -7.767141e-01 1.635276e+00 1.011035e+00 -1.068839e+00 8.157072e-02 -2.189456e+00 -8.249642e-01 -3.404057e-01 -6.109220e-01 3.879990e-01 -6.052510e-04 -1.930172e-01 3.291108e+00 -8.312634e-01 -2.076262e+00 -4.028759e+00 -2.298605e+00 2.690106e-01 3.072653e+00 
25 351 0 0 0 1.240452e+00 -3.561013e+00 -2.935539e+00 1.512882e-02 -2.673771e+00 2.917758e+00 3.443347e+00 7.749944e-01 -3.610038e+00 1.688292e+00 8.484723e-01 3.881905e+00 -4.314167e-01 -8.175148e-01 1.608768e+00 9.139726e-01 -1.053619e+00 4.491677e-02 -1.997892e+00 -1.046684e+00 -1.985888e-01 -7.125397e-01 3.407290e-01 -1.659951e-01 -2.797867e-01 3.326906e+00 -8.282469e-01 -2.088097e+00 -3.964326e+00 -2.250404e+00 2.322657e-01 3.194657e+00 
26 365 0 0 0 1.162443e+00 -3.661237e+00 -3.032477e+00 8.623210e-02 -3.012199e+00 2.712433e+00 3.564774e+00 9.822169e-01 -3.598689e+00 1.604444e+00 6.159673e-01 4.065974e+00 -4.340976e-01 -8.219794e-01 1.726446e+00 1.127985e+00 -6.933672e-01 -7.543299e-02 -2.053793e+00 -1.118667e+00 -1.391208e-01 -5.776338e-01 1.486635e-01 -2.731272e-01 -1.480607e-01 3.422297e+00 -6.542252e-01 -2.027251e+00 -4.065897e+00 -2.113134e+00 2.201985e-01 3.376677e+00 
27 379 0 0 0 1.052977e+00 -3.858590e+00 -2.944787e+00 -1.171002e-01 -2.833542e+00 2.511712e+00 3.315636e+00 9.374212e-01 -3.892077e+00 1.634790e+00 6.630619e-01 3.694573e+00 -6.192795e-01 -7.649363e-01 1.844150e+00 1.089619e+00 -9.506090e-01 1.442367e-01 -1.644781e+00 -1.392244e+00 1.792246e-01 -6.559819e-01 1.443435e-02 -5.351899e-01 2.369065e-02 3.379555e+00 -8.032639e-01 -1.943758e+00 -4.142018e+00 -2.010613e+00 4.355556e-01 3.279793e+00 
28 393 0 0 0 1.113568e+00 -3.871500e+00 -3.064058e+00 -1.513384e-01 -2.901936e+00 2.255513e+00 3.276548e+00 7.879263e-01 -4.113208e+00 1.632451e+00 7.278212e-01 3.677218e+00 -5.616926e-01 -6.620151e-01 1.844851e+00 1.188560e+00 -1.006786e+00 2.446680e-01 -1.365372e+00 -1.252318e+00 -4.505406e-02 -5.970387e-01 -2.743999e-01 -3.656391e-01 -6.059285e-03 3.444549e+00 -8.717733e-01 -1.742159e+00 -4.323678e+00 -2.049184e+00 6.418873e-01 3.223330e+00 
29 407 0 0 0 1.276929e+00 -3.803914e+00 -3.102291e+00 -5.043118e-03 -2.952560e+00 2.302493e+00 3.209061e+00 8.380051e-01 -4.178897e+00 1.818450e+00 7.748573e-01 3.908834e+00 -4.923416e-01 -8.053006e-01 1.703670e+00 1.104432e+00 -1.005200e+00 4.659107e-01 -1.426008e+00 -1.380292e+00 -3.716665e-01 -5.820074e-01 -3.476155e-01 -4.530277e-01 -1.387443e-01 3.275083e+00 -6.456799e-01 -1.891678e+00 -4.524030e+00 -1.932726e+00 6.455261e-01 3.099439e+00 
30 421 0 0 0 1.416223e+00 -4.002400e+00 -2.937401e+00 1.121439e-01 -2.932224e+00 2.636668e+00 2.702298e+00 4.283977e-01 -4.274105e+00 1.493526e+00 8.970528e-01 3.829299e+00 -4.012591e-01 -9.889543e-01 1.738816e+00 9.539911e-01 -1.048170e+00 5.184783e-01 -1.252286e+00 -1.329982e+00 -5.577380e-02 -5.512218e-01 -6.100380e-01 -3.254909e-01 9.923265e-03 3.200866e+00 -9.008188e-01 -2.013938e+00 -4.626762e+00 -2.008053e+00 4.345040e-01 3.004468e+00 
31 435 0 0 0 1.369198e+00 -3.822425e+00 -2.819787e+00 1.701893e-01 -2.847419e+00 2.677379e+00 2.231318e+00 3.113152e-01 -4.171501e+00 1.625907e+00 1.003039e+00 4.335524e+00 -3.009871e-01 -8.279902e-01 1.925835e+00 1.099754e+00 -1.012785e+00 4.896031e-01 -9.604067e-01 -1.067622e+00 -1.549036e-01 -3.731221e-01 -7.100154e-01 -3.874280e-01 3.972095e-02 3.122572e+00 -7.408551e-01 -2.214247e+00 -4.900401e+00 -2.067885e+00 5.948597e-01 2.978741e+00 
32 449 0 0 0 1.312766e+00 -3.769900e+00 -2.893307e+00 2.726497e-01 -3.215160e+00 2.349364e+00 2.276243e+00 3.600558e-01 -4.066889e+00 1.971638e+00 8.880775e-01 4.330120e+00 -1.600777e-01 -8.585205e-01 1.772560e+00 1.013188e+00 -1.156647e+00 2.617925e-01 -1.006645e+00 -1.338117e+00 -1.471845e-01 -4.353732e-01 -9.195396e-01 -4.597392e-01 8.725087e-02 3.073046e+00 -8.040370e-01 -2.071281e+00 -4.960294e+00 -1.898084e+00 5.249811e-01 3.055349e+00 
33 463 0 0 0 1.360043e+00 -3.392456e+00 -2.861069e+00 2.822362e-01 -3.054555e+00 2.324754e+00 2.478180e+00 2.386239e-01 -4.051536e+00 1.840933e+00 7.952287e-01 4.256179e+00 -2.380871e-01 -9.481739e-01 1.781225e+00 1.170648e+00 -1.056235e+00 3.333273e-01 -1.013433e+00 -1.233639e+00 -1.775921e-01 -4.939252e-01 -9.814703e-01 -3.576423e-01 4.389508e-01 3.120524e+00 -8.934602e-01 -2.081746e+00 -4.972673e+00 -1.670752e+00 4.905819e-01 3.108849e+00 
34 477 0 0 0 1.312667e+00 -3.441488e+00 -2.763674e+00 3.962851e-01 -2.792733e+00 2.130694e+00 2.558814e+00 2.060509e-01 -4.124496e+00 2.004603e+00 6.204322e-01 4.101732e+00 2.361801e-02 -1.057258e+00 1.633546e+00 1.674572e+00 -9.957485e-01 4.027007e-01 -1.022886e+00 -1.549339e+00 -2.504183e-01 -4.162090e-01 -7.982750e-01 -6.602921e-01 3.880829e-01 3.237306e+00 -7.106524e-01 -2.052817e+00 -5.203207e+00 -1.659211e+00 3.219890e-01 3.266154e+00 
35 491 0 0 0 1.191653e+00 -3.528641e+00 -2.586172e+00 6.352806e-01 -3.094500e+00 1.870524e+00 2.385933e+00 8.269385e-02 -4.238472e+00 1.759902e+00 2.908216e-01 4.004452e+00 1.271265e-01 -1.098261e+00 1.473353e+00 1.696023e+00 -1.177229e+00 6.039590e-01 -9.337731e-01 -1.736739e+00 -1.736821e-01 -4.143876e-01 -5.787651e-01 -6.474674e-01 2.458769e-01 3.005311e+00 -6.395856e-01 -2.127004e+00 -5.279576e+00 -1.795256e+00 5.602585e-01 3.287998e+00 
36 505 0 0 0 1.081027e+00 -3.553386e+00 -2.325234e+00 5.902577e-01 -3.198572e+00 1.825601e+00 2.239627e+00 3.183374e-01 -4.283252e+00 2.006674e+00 1.557638e-01 4.076332e+00 1.619359e-02 -9.032312e-01 1.402865e+00 1.668597e+00 -1.295041e+00 6.925576e-01 -1.058624e+00 -1.487373e+00 -2.234439e-01 -6.339253e-01 -6.747406e-01 -7.833141e-01 6.037732e-01 3.126283e+00 -7.434834e-01 -1.814741e+00 -5.341730e+00 -1.820879e+00 5.811536e-01 3.303424e+00 
37 519 0 0 0 8.641530e-01 -3.632881e+00 -2.324356e+00 6.755411e-01 -2.992484e+00 1.944193e+00 2.125598e+00 4.135221e-01 -4.464629e+00 1.832228e+00 -3.157593e-02 3.824678e+00 -1.262073e-01 -1.146974e+00 1.379033e+00 1.843846e+00 -1.727895e+00 8.202501e-01 -1.097752e+00 -1.423527e+00 -3.923445e-01 -3.200981e-01 -6.196009e-01 -5.398101e-01 5.756040e-01 3.100007e+00 -6.625059e-01 -1.893160e+00 -5.476178e+00 -1.901753e+00 3.622177e-01 3.045472e+00 
38 533 0 0 0 9.732854e-01 -3.614117e+00 -2.501059e+00 7.403504e-01 -2.818395e+00 1.919096e+00 2.266262e+00 1.993782e-01 -4.486676e+00 1.540930e+00 -6.688585e-02 3.756120e+00 1.919488e-01 -1.094088e+00 1.165215e+00 1.889877e+00 -1.510352e+00 6.097908e-01 -9.380515e-01 -1.029779e+00 -5.422295e-01 -6.528338e-01 -6.340838e-01 -1.603493e-01 6.880310e-01 2.849080e+00 -7.821433e-01 -1.994282e+00 -5.617476e+00 -1.884467e+00 4.391406e-01 3.007672e+00 
